Direction,AccountId,ClosedDate,Borrowing,OpeningDealId,ClosingDealId,OpeningLevel,DisplayOpeningLevel,ClosingLevel,OriginalSize,Commission,Corrections,CreditPremium,CreatedDate,CurrencySymbol,Dividends,Epic,Funding,FxInterest,GST,Locale,MarketName,ModifiedDate,OpenedDate,PresentationMarketName,Prompt,PresentationPrompt,RealisedProfitAndLoss,Total,SizeStillOpen,TransactionType,CommissionCurrencySymbol,Size,ConvertToCurrency,CurrentPrice
BUY,IZ4XD,2017-05-04 20:39:37.0,0.00,XXHMBXA8,XXHSYSA2,147380.5,147380.5,153533.1,0.1,0.00,0.00,0.00,2017-05-04 20:39:37.0,GBP,0.00,CS.D.BITCOIN.TODAY.IP,-12.32,-12.32,0.00,en_GB,Bitcoin (USD),2017-05-04 20:39:37.356208,2017-05-03 14:33:58.0,Bitcoin (USD),  DEC27,DFB,615.26,602.94,0,6,,0.1,#.,0.00
BUY,IZ4XD,2017-05-04 20:35:51.0,0.00,XZX6MPA9,XZXZTLA2,157499,157499,155967.5,0.1,0.00,0.00,0.00,2017-05-04 20:35:51.0,GBP,0.00,CS.D.BITCOIN.TODAY.IP,0.00,0.00,0.00,en_GB,Bitcoin (USD),2017-05-04 20:35:51.808995,2017-05-04 16:22:23.0,Bitcoin (USD),  DEC27,DFB,-153.15,-153.15,0,6,,0.1,#.,0.00
BUY,IZ4XD,2017-04-26 13:06:35.0,0.00,XLTPWVAH,XLTZMPAQ,30827,30827,31112,1,0.00,0.00,0.00,2017-04-26 13:06:35.0,GBP,0.00,UD.D.TSLA.DAILY.IP,-2.37,0.00,0.00,en_GB,Tesla Motors Inc (All Sessions),2017-04-26 13:06:35.473562,2017-04-25 15:54:15.0,Tesla Motors Inc (All Sessions),  DEC27,DFB,285.00,282.63,0,6,,1,#.,0.00
