Direction,AccountId,ClosedDate,Borrowing,OpeningDealId,ClosingDealId,OpeningLevel,DisplayOpeningLevel,ClosingLevel,OriginalSize,Commission,Corrections,CreditPremium,CreatedDate,CurrencySymbol,Dividends,Epic,Funding,FxInterest,GST,Locale,MarketName,ModifiedDate,OpenedDate,PresentationMarketName,Prompt,PresentationPrompt,RealisedProfitAndLoss,Total,SizeStillOpen,TransactionType,CommissionCurrencySymbol,Size,ConvertToCurrency,CurrentPrice
BUY,IZ4XD,2017-05-22 20:55:11.0,0.00,YUGVW7A9,YUGDUVA7,223349.5,223349.5,218050.2,0.1,0.00,0.00,0.00,2017-05-22 20:55:11.0,GBP,0.00,CS.D.BITCOIN.TODAY.IP,0.00,0.00,0.00,en_GB,Bitcoin (USD),2017-05-22 20:55:11.673105,2017-05-22 20:46:36.0,Bitcoin (USD),  DEC27,DFB,-529.93,-529.93,0,6,,0.1,#.,0.00
BUY,IZ4XD,2017-05-22 20:55:11.0,0.00,YT46KTA5,YT5F5EA7,214349.5,214349.5,218050.2,0.1,0.00,0.00,0.00,2017-05-22 20:55:11.0,GBP,0.00,CS.D.BITCOIN.TODAY.IP,0.00,0.00,0.00,en_GB,Bitcoin (USD),2017-05-22 20:55:11.712791,2017-05-22 15:42:45.0,Bitcoin (USD),  DEC27,DFB,370.07,370.07,0,6,,0.1,#.,0.00
BUY,IZ4XD,2017-05-22 17:51:52.0,0.00,YUCGAKA8,YUBPEPA7,219999,219999,216999,0.1,0.00,0.00,0.00,2017-05-22 17:51:52.0,GBP,0.00,CS.D.BITCOIN.TODAY.IP,0.00,0.00,0.00,en_GB,Bitcoin (USD),2017-05-22 17:51:52.750995,2017-05-22 17:20:27.0,Bitcoin (USD),  DEC27,DFB,-300.00,-300.00,0,6,,0.1,#.,0.00
BUY,IZ4XD,2017-05-05 16:16:23.0,0.00,X3QZCWBA,X3QUNGA2,158606,158606,154179,0.1,0.00,0.00,0.00,2017-05-05 16:16:23.0,GBP,0.00,CS.D.BITCOIN.TODAY.IP,0.00,0.00,0.00,en_GB,Bitcoin (USD),2017-05-05 16:16:23.870432,2017-05-05 14:33:09.0,Bitcoin (USD),  DEC27,DFB,-442.70,-442.70,0,6,,0.1,#.,0.00
